NO,LICENCE NUMBER,NAME OF PHARMACY,TYPE,LOCATION,MMDA,REGION
169,PC/GR/R/0031L,ALAJO PHARMACY LTD,Retail,H/NO. C126/17 MAIN STRRET ALAJO ACCRA,AMA,Greater Accra
170,PC/AS/R/00094,ALAMANDA PHARMACY,Retail,STORE NO. 15 - KWADASO MARKET KUMASI,KMA,Ashanti
171,PC/AS/R/0138N,ALBA CHEMISTS LTD,Retail,ADJACENT HEALTH CENTRE HIGH STREET ADUM AYEDUASE,KMA,Ashanti
172,PC/AS/R/00067,ALBAR CHEMISTS,Retail,PLOT 8. BLK J SUAME - KUMASI,KMA,Ashanti
173,PC/WR/WR/0006P,ALBWIN PHARMACY LTD,Wholesale/Retail,"H/NO. 72, ELUBO",JOMORO,Western
174,PC/BA/WR/0040F,ALEXIS PHARMACY LTD.,Wholesale/Retail,"UNN.HOUSE, ST. PETER'S CATHOLIC CHURCH   JEMA",KINTAMPO SOUTH,Brong Ahafo
175,PC/GR/W/0246P,ALFA CHEMIST LTD,Wholesale,GA-165-6545 PAPAYE STREET - TESANO,AMA,Greater Accra
176,PC/GR/R/0553K,ALFIES PHARMACY COMPANY LT,Retail,"SPECIAL ICE WATER COMPANY PANTANG-ABURI ROAD
GHANA FLAG OYARIFA",LA NKWANTANANG-MADINA,Greater Accra
177,PC/GR/W/0079D,ALFIES PHARMACY LTD,Wholesale,"STORE NO. 2 NEAR P &T GATES OPPOSITE PANTANG
HOSPITAL PANTANG",GA EAST,Greater Accra
179,PC/GR/R/0130C,ALIASMAU PHARMACY LTD,Retail,H/NO. 164 JAPAN MOTORS - ASHALLEY BOTWE,ADENTAN,Greater Accra
180,PC/AS/R/0289P,ALIBRAH PHARMACY LTD,Retail,"H/NO. OT 1, PLOT 16 SIR JOHN ROAD TAFO KUMASI",KMA,Ashanti
181,PC/AS/WR/0297K,ALIMAT HEALTH CARE PHARMCY,Wholesale/Retail,"H/NO. S.A. 11, ALABAA",KMA,Ashanti
182,PC/GR/R/00741,ALIMEFS PHARMACY,Retail,"H/NO. G1/7, TRADE FAIR RD, PALM WINE JXN, LA",LA DEDE-KOTOPON,Greater Accra
183,PC/WR/R/0318K,ALISEY PHARMACY LTD,Wholesale/Retail,H/NO. NK 1/29 UMAT TARSCO NKAMPOMACE TARKWA,TARKWA-NSUAEM,Western
184,PC/AS/WR/0446K,ALL IS WELL PHARMACY,Wholesale/Retail,"STORE NO. 1 & 2 - LORRY STATION JUNCTION ADANSI
ASOKWA",ADANSI NORTH,Ashanti
185,PC/GR/WR/0161L,ALL-DAY PHARMACEUTICALS LTD,Wholesale/Retail,GS-0272-3111 NI HIGHWAY MACARTHY HILLS MENDSKROM,GA SOUTH,Greater Accra
186,PC/GR/R/00010,ALL-LIFE PHARMACY,Retail,H/NO.B-44/4 OBLONGO ROAD LARTEBIOKORSHIE ACCRA,AMA,Greater Accra
187,PC/AS/R/00111,ALL-TEE PHARMACY,Retail,"PLOT 24, BLOCK 8, AKWATIA LINE, - KUMASI",KMA,Ashanti
188,PC/GR/WR/0185L,ALLDRUGS PHARMACY LTD,Wholesale/Retail,H/NO. 1033/12 FERTILIZER LINE GREDA ESTATE TESHIE,LEDZOKUKU-KROWOR,Greater Accra
189,PC/GR/R/0012N,ALLDRUGS PHARMACY LTD,Retail,260-7137 - - KLAGON,LA NKWANTANANG-MADINA,Greater Accra
190,PC/NR/R/0122M,ALLIANCE PHARMACY LIMITED,Retail,H/NO. C124 CHOGGU-YAPALSI EXTEN JISONAYILL SAGNARIGU,SAGNERIGU,Northern
191,PC/NR/R/0164H,ALLIANCE PHARMACY LTD.,Retail,"H/NO. GU 119, GUMANI LAST STOP OLD GARAGA AVENUE
GUMANI",TAMALE,Northern
192,PC/GR/WR/0489K,ALLON HEALTH & PHARMACY LTD,Wholesale/Retail,H/NO. 36 MANGO STREET - BAATSONA SPINTEX,TMA,Greater Accra
193,PC/GR/W/0578K,ALLON HEALTH AND PHARMACY,Wholesale,H/NO. D6665/4 CARAVAN AVENUE OKAISHIE ACCRA,AMA,Greater Accra
194,PC/GR/R/0078N,ALLSWELL PHARMACY LTD,Retail,H/NO. DM 113 KWABENYA ROAD - DOME,GA EAST,Greater Accra
195,PC/GR/R/0427L,ALLY PHARMACY LIMITED,Retail,H/NO. 32 MAIN HIGHWAY KALABULEY JUNCTION KALABULEY,GA SOUTH,Greater Accra
196,PC/NR/WR/0130P,ALMA CHEMIST,Wholesale/Retail,BLOCK C75 MAIN STREET KALI FONG SAVELUGU,SAVELUGU-NANTONG,Northern
197,PC/GR/WR/0138B,ALMCO PHARMACY LTD,Wholesale/Retail,"HN0. 01 NEAR MEAGLET HOTEL PANTANG JUNCTION
MADINA",LA NKWANTANANG-MADINA,Greater Accra
198,PC/GR/R/0017L,ALMCO PHARMACY LTD,Retail,H/NO. 115 NII ANNAN STREET - HAATSO,GA EAST,Greater Accra
199,PC/GR/R/00814,ALMCO PHARMACY LTD.,Retail,PLOT NO. 380 BRIDGE STREET NEW ASHONGMAN ACCRA,AMA,Greater Accra
200,PC/GR/R/00695,ALNESSA PHARMACY LIMITED,Retail,H/NO. 624/1M IPS ROAD MADINA ACCRA,ADENTAN,Greater Accra
201,PC/GR/WR/00123,ALOKEN LTD. (PHARMACY),Wholesale/Retail,H/NO.D127/4 OKAIKOI ROAD UTC HARDWARE BLD ACCRA,AMA,Greater Accra
202,PC/VR/R/0059F,ALPAT PHARMACY,Retail,"UNN.HSE, AFLAO MARKET JXN, OPP. GLORY OIL FILLING STN,
AFLAO MAIN RD, AFLAO",KETU SOUTH,Volta
203,PC/CR/R/0357J,ALPAT PHARMACY LIMITED,Retail,"UNN.HSE, KASOA KASOA HIGH WAY BUDUBURAM OPP.
TOTAL BUDUBURAM",AWUTU SENYA EAST,Central
204,PC/CR/R/0544K,ALPHA & OMEGA EL-SHADDAI PH,ReMtaAilCY LTD,"H/NO. AD 9/15, KASOA",AWUTU SENYA EAST,Central
205,PC/GR/R/0213J,ALPHA CARE PHARMACY LIMITED,Retail,PLOT NO. 105 UNNAMED STREET OFANKOR-ASOFAN ACCRA,GA WEST,Greater Accra
206,PC/GR/R/00019,ALPHA DELTA PHARMACY,Retail,H/NO. 166/5 1ST SOULA STREET LABONE ESTATE ACCRA,AMA,Greater Accra
207,PC/GR/WR/00175,ALPHA DELTA PHARMACY,Wholesale/Retail,H/NO.A942/1 GUGGISBERG ROAD KORLE-GONNO ACCRA,AMA,Greater Accra
209,PC/AS/WR/00021,ALPHA DUO PHARM LTD,Wholesale/Retail,"PLOT 8,BLOCK L HIGH STREET BANTAMA KUMASI",KMA,Ashanti
210,PC/AS/R/0155N,ALPHA DUO PHARMA,Retail,RIDGE 72B - RAMIER EXTENSION HOSPITAL ROAD OBUASI,OBUASI,Ashanti
211,PC/AS/R/0118J,ALPHA DUO PHARMACY LTD,Retail,"PLOT 7, BLOCK H DR. OSEI STREET AKOREM, ABOABO KUMASI",KMA,Ashanti
212,PC/AS/R/0119J,ALPHA DUO PHARMACY LTD,Retail,"PLOT 4, BLOCK III ROMAN STREET - BOMPATA",KMA,Ashanti
213,PC/GR/WR/0585K,ALPHA PHARMACY LIMITED,Wholesale/Retail,"H/NO. T4/4 PS NEAR GREEN VILLAGE HOSPITAL GLOBAL
ESTATE DAWHENYA",NINGO PRAMPRAM,Greater Accra
214,PC/GR/R/0423K,ALPHA-BETA PHARMACY,Retail,H/NO. C264/11 ALAJO STREET - KOTOBABI DOWN,GA CENTRAL,Greater Accra
215,PC/GR/R/0076H,ALPHA-BETA PHARMACY LTD,Retail,"H/NO. 3,  NII ABLORH ROAD TESHIE TESHIE",LEDZOKUKU-KROWOR,Greater Accra
216,PC/GR/WR/0423L,ALPHADELTA PHARMACY LTD,Wholesale/Retail,"H/NO. 2, BLOCK 8  SECTION 13 RING ROAD CENTRAL
KOKOMLEMLE",AMA,Greater Accra
217,PC/GR/R/0085L,ALSONS PHARMACY LIMITED,Retail,WUNI PLAZA - - AYIKAI-DOBLO,GA WEST,Greater Accra
218,PC/GR/R/0126G,ALSONS PHARMACY LTD.,Retail,"H/NO. 050, NEAR VALLEY VIEW UNIV, DODOWA MAIN RD, -
OYIBI",ADENTAN,Greater Accra
219,PC/GR/R/0148K,ALTCHOISE PHARMACY,Retail,"H/NO. 25, OSAMANPA ESTATE, ASHONGMAN ESTATES H/NO.
25, OSAMANPA ESTATE, OSAMANPA ESTATE ASHONGMAN
ESTATE",GA EAST,Greater Accra
220,PC/UWR/R/0563K,ALTINATET PHARMACY,Retail,H/NO. 50 PRESIDENT MILLS STREET PATAAL NANDOM,NANDOM,Upper West
221,PC/UWR/R/0125P,ALTINATET PHARMACY LTD,Retail,H/NO. 5 LAWRA ROAD NEAR TUC STATION BABILE,LAWRA,Upper West
222,PC/GR/W/0574K,ALTON PHARMACY LIMITED,Wholesale,H/NO. 16 JOSEPH SAMPAH STREET SAMPAH VALLEY WEIJA,GA SOUTH,Greater Accra
223,PC/GR/R/329P,ALTON PHARMACY LTD,Retail,"H/NO. 67, GA-557-5377 TSUIM TAWIAH STREET - ODORKOR",AMA,Greater Accra
224,PC/GR/W/0622L,ALTRAMEX PHARMACY LIMITED,Wholesale,H/NO. C488/2 ADJEI KPABI STREET - HAATSO,ADA EAST,Greater Accra
225,PC/CR/R/0090M,AMADIS PHARMACY LTD,Retail,H/NO. PM 18 ROYAL STREET - ANKAFUL,CAPE COAST,Central
226,PC/GR/WR/0039E,AMANFRO PHARMACY,Wholesale/Retail,"H/NO. 4, - NEAR WEEMA HOTEL AMANFRO",ADENTAN,Greater Accra
227,PC/GR/R/0302J,AMANFRO PHARMACY LTD,Retail,"H/NO. D23 ANUM YEMOH AVENUE NEW LEGON  ROAD NEW
LEGON",ADENTAN,Greater Accra
228,PC/GR/W/0129B,AMANI CHEMISTS LTD,Wholesale,"H/NO. 12, ADJIRIGANO, EAST LEGON ACCRA",ADENTAN,Greater Accra
229,PC/AS/R/00064,AMANIDOM PHARMACY,Retail,H/NO. AO. 91  ABOABO NO. 2 KUMASI,KMA,Ashanti
230,PC/CR/WR/0084B,AMARPHARMA LTD.,Wholesale/Retail,H/NO. L66 MAIN STREET OLD LORRY STATION ASSIN FOSU,ASSIN NORTH,Central
232,PC/ER/WR/0137E,AMASEY PHARMACY LTD.,Wholesale/Retail,"PLOT NO. PHT 00008, - OKUMANI JUNCTION KADE",KWAEBIBIREM,Eastern
233,PC/AS/WR/0019D,AMAZING PHARMACY,Wholesale/Retail,H/NO. M 27 - NEAR BUS STOP MANHYIA,ATWIMA NWABIAGYA,Ashanti
234,PC/AS/R/0183K,AMBY CHEMISTS LIMITED,Retail,"PLOT 26, BLOCK F NANA K. APPIAH II STREET TEACHER'S
QUARTERS DEDUAKO",KMA,Ashanti
235,PC/ER/WR/00046,AMEN AMEN PHARMACY LTD.,Wholesale/Retail,"H/NO. B17, FOLSE LANE, BEHIND MAIN MARKET -
ASAMANKESE",WEST AKIM,Eastern
236,PC/GR/R/0042M,AMERICAN PHARMACY & ATLANT,R eMtaINilI LIMITED,H/NO. 2547 ODUM ROAD - SPINTEX,TMA,Greater Accra
237,PC/GR/R/0152F,AMEX PHARMACY LTD.,Retail,"H/NO. 39, 6TH LANE, CANTONMENTS ROAD, - OSU-ACCRA",AMA,Greater Accra
238,PC/GR/R/0134B,AMI PHARMACY,Retail,H/NO. B263/25 ALAFIA DARKUMAN ACCRA,AMA,Greater Accra
239,PC/ER/W/00009,AMICUS PHARMACY,Wholesale,"STORE NO. 46 ALL NATION CENTRAL BUSINESS AREA
KOFORIDUA",NEW-JUABENG,Eastern
240,PC/BA/R/0166P,AMO CHEMIST LTD,Retail,BW-004-9753 SAMPA ROAD - WENCHI,WENCHI,Brong Ahafo
241,PC/GR/R/00323,AMO-VISION PHARMACY,Retail,H/NO. G461/2 LANTE GEORGE STREET LA  LA,LEDZOKUKU-KROWOR,Greater Accra
242,PC/AS/R/0130N,AMOFEST PHARMACY,Retail,H/NO. BH 32 - ASAFO KUMASI,KMA,Ashanti
243,PC/GR/R/0341L,AMPOMA PHARMACEUTICALS LI,RITeEtDail,GE-289-2330 BANYEASE ROAD - TAIFA,GA EAST,Greater Accra
244,PC/NR/W/0096K,AMPONSAH-EFAH PHARMACEUTI,WALhSo LleTsDale,H/NO. 159 CHOGGU MANAYILLI NAALURU ESTATE TAMALE,SAGNERIGU,Northern
245,PC/AS/MW/00002,AMPONSAH-EFFAH P'CEUTICALS,TMDanufacturing W,oOl.eTs.aBl e195 - ADUM KUMASI,EJISU-JUABENG,Ashanti
246,PC/GR/W/0071J,AMPONSAH-EFFAH PHARMACEU,IWCAhLoSl e LsTalDe,"H/NO. 294A/4, KUSIA KUSIA KOKOMLEMLE ACCRA",GA CENTRAL,Greater Accra
247,PC/AS/R/0348J,AMPRAPHARMA COMPANY LIMIT,RDetail,H/NO. AS 111 NEAR BASIC SCHOOL ASENNUA ASENNUA,AFIGYA-KWABRE,Ashanti
248,PC/AS/WR/0202K,AMPRAPHARMA COMPANY LIMIT,WDholesale/Retail,H/NO. AS 32 FAWOADE A'DKESE ROAD - BAMPENASE,KWABERE EAST,Ashanti
249,PC/AS/R/0120N,AMPTESS PHARMACY LTD,Retail,"PLOT 36, BLOCK B - BREMAN KUMASI",,Ashanti
250,PC/AS/WR/0145N,AMPTESS PHARMACY LTD,Wholesale/Retail,H/NO. K.O. 35 - ASHTOWN KUMASI,KMA,Ashanti
251,PC/AS/R/0138L,AMPTESS PHARMMACY LTD,Retail,"PLOT 11, BLOCK E - ASORE NKWANTA OHWIM",KMA,Ashanti
252,PC/NR/R/0116P,AMUHERA PHARMACY LTD,Retail,H/NO. PO E 10 - LAMASHEGU TAMALE,TAMALE,Northern
253,PC/ER/R/0199H,ANAASONS PHARMACY LTD.,Retail,"H/NO. B 220/3, SRA OPP. NENE KROBO STREET NEAR ECG
OFFICE  SOMANYA",YILOKROBO,Eastern
254,PC/WR/R/00035,ANAJI PHARMACY,Retail,SSNIT FLATS  ANAJI TAKORADI,SEKONDI-TAKORADI,Western
255,PC/AS/WR/0144N,ANAMENS PHARMACY LTD,Wholesale/Retail,"AK-040-5560 KWAME MENSAH AVENUE KSTU MAIN GATE
ASEM",KMA,Ashanti
256,PC/GR/R/0103F,ANANAEL PHARMACY,Retail,H/NO. 3 NII NORTEY ADJEIFIO STREET  TESHIE,LEDZOKUKU-KROWOR,Greater Accra
257,PC/ER/WR/00021,ANCAWIN COMPANY LTD.,Wholesale/Retail,"H/NO. SD/A 23 PRINCE BOATENG STATION SRODAE
KOFORIDUA",NEW-JUABENG,Eastern
258,PC/GR/WR/0629L,ANCIENT PHARMACY LTD,Wholesale/Retail,ECG/Z4/2/044 - - APPOLONIA,KPONE KATAMANSO,Greater Accra
259,PC/GR/R/0066J,ANCIENTS PHARMACY,Retail,"ECG/ZA/2/044 ROYAL PAZA HIGH STREET - KPONE
KATAMANSO",KPONE KATAMANSO,Greater Accra
260,PC/AS/R/00021,ANDIPHARMA LTD.,Retail,"PLOT 9, BLOCK 26, ASOKWA",KMA,Ashanti
261,PC/AS/WR/0490L,ANDOF PHARMACY,Wholesale/Retail,"PLOT 133A, BLOCK B - ASIKAFOAMATEM AGONA",SEKYERE SOUTH,Ashanti
262,PC/WR/R/00036,ANDOKWOF PHARMACY LTD.,Retail,H/NO. DH/09/67 ALFRA ROAD NEW SITE TAKORADI,SEKONDI-TAKORADI,Western
263,PC/AS/W/0207E,ANDROP PHARMACY LTD.,Wholesale,H/NO. 09  CENTRAL STATION RD. - ANTO-OBUASI,OBUASI,Ashanti
264,PC/WR/WR/0432L,ANDYFAITH PHARMACY,Wholesale/Retail,H/NO. 60 - AGAPET WASSA AKROPONG,WASSA AMENFI CENTRAL,Western
265,PC/WR/R/0024P,ANDYFAITH PHARMACY,Retail,"H/NO. BG 17, STORE 3 PRESTEA JUNCTION FUEL STATION
BOGOSO",PRESTEA HUNI VALLEY,Western
266,PC/AS/R/0052C,ANGELS PHARMACY,Retail,"PLOT 100, BLOCK A - ATASOMANSO KUMASI",KMA,Ashanti
267,PC/GR/R/0611H,ANIL PHARMACY,Retail,DEVTRACO - COMMUNITY 25 SAVANNA JUNCTION,TMA,Greater Accra
268,PC/VR/R/0570K,ANLOGA ST. FRANCIS PHARMACY,LRTeDtail,H/NO. AN 2/239 TORGBI LE STREET - ANLOGA,SOUTH TONGU,Volta
269,PC/UER/WR/0498L,ANNICOM PHARMACY,Wholesale/Retail,H/NO. A26 COMMERCIAL STREET ATULBASI BOLGATANGA,BOLGATANGA,Upper East
270,PC/GR/R/0531K,ANNOSEL PHARMACY LTD,Retail,GW-0273-3316 - NTAFRAFRA AMASAMAN,GA WEST,Greater Accra
271,PC/WR/WR/0074F,ANR PHARM LTD.,Wholesale/Retail,"H/NO. 114,  PAUL ESSEN ROAD  ADENTEM-TAKORADI",SEKONDI-TAKORADI,Western
272,PC/GR/W/0088A,ANSAPHARMA LTD,Wholesale,H/NO. 41/2 ACCRA POLY ROAD  ACCRA,AMA,Greater Accra
273,PC/GR/R/0043H,ANSAPHARMA PHARMACY,Retail,"H/NO. 2, LATEBIOKOSHIE ROAD  LATEBIOKOSHIE ACCRA",AMA,Greater Accra
274,PC/GR/R/0211C,ANSAPHARMA PHARMACY (OSU,RAetNaCilH),H/NO. F 460 3RD LANE OSU KUKU HILL OSU,AMA,Greater Accra
275,PC/CR/WR/0388K,ANSTAND CHEMIST LTD,Wholesale/Retail,H/NO. ANMA 116 KUMASI ROAD - ASSIN FOSU,ASSIN SOUTH,Central
276,PC/ER/WR/0114G,ANSTAND CHEMISTS LTD.,Wholesale/Retail,"H/NO. C 136A, HOSPITAL RD, OPP. ST. DOMINIC HOSP, -
AKWATIA",DENKYEMBOUR,Eastern
277,PC/GR/R/00362,ANSU MEMORIAL PHARMACY,Retail,"H/NO. UNN. STORE ATOMIC-DOME ROAD NEAR
PLAYGROUND DOME",GA EAST,Greater Accra
279,PC/GR/R/0060L,ANSU MEMORIAL PHARMACY LT,Retail,H/NO KWA 120 - - ASHONGMAN ESTATE,GA EAST,Greater Accra
280,PC/ER/WR/0052G,ANTRICO PHARMACY,Wholesale/Retail,"H/NO. K24, OPP. MKT STORES, ABETIFI-MPRAESO MAIN RD, -
ABETIFI-KWAHU",KWAHU EAST,Eastern
281,PC/GR/R/0147K,ANYANEWAA PHARMACY,Retail,"UNN. PLOT DVLA SATELLITE, KUTUNSE",GA WEST,Greater Accra
282,PC/AS/R/00211,APIKRIST PHARMACY LTD,Retail,"H/NO. PLOT NO. 17, BLOCK 11, DOME-OFFINSO",KMA,Ashanti
283,PC/GR/W/0424L,APL PHARMACY,Wholesale,H/NO. 1 KWAME NKRUMAH AVENUE - ACCRA,AMA,Greater Accra
284,PC/GR/R/0175P,APL PHARMACY LTD,Retail,H/NO. 1 DREAASE STREET - ADENTA,ADENTAN,Greater Accra
285,PC/GR/R/00926,APL PHARMACY LTD.,Retail,"H/NO. A 146/10, KARIKARI BROBBEY, DANSOMAN ACCRA",AMA,Greater Accra
286,PC/AS/WR/0039D,APOMUDEN PHARMACEUTICALS,TWDholesale/Retail,"H/NO. JB 158, HOSPITAL ROAD, - JUABEN",OBUASI,Ashanti
287,PC/NR/R/0115M,APOTHECARE PHARMACY,Retail,"- HURLINGHAM STREET ADJACENT GOIL SERVICE STATION
KALADAN",TAMALE,Northern
288,PC/CR/R/0470L,APP PHARMACY LIMITED,Retail,H/NO. 6. BLOCK B HOSPITAL ROAD NANANOM  MANKESSIM,MFANTSEMAN,Central
289,PC/WR/R/00046,APREMDO PHARMACY LTD.,Retail,ASR 4 NEW APREMDO  MARKET APREMDO TAKORADI,AHANTA WEST,Western
290,PC/ER/R/0105P,APT PHARMACY LTD,Retail,EX-2274-1934 - BOMSO ROAD ASUOM,KWAEBIBIREM,Eastern
291,PC/AS/WR/0001M,ARAPHARM GHANA LIMITED,Wholesale/Retail,"PLOT 1, BLOCK C, KENYASI",KWABERE EAST,Ashanti
292,PC/NR/R/0024N,ARASS PHARMACY LTD,Retail,H/NO. A664 CHERLAK STREET BALOGU YENDI,YENDI,Northern
293,PC/GR/R/0074N,ARC PHARMACY LIMITED,Retail,GW-0705-8997 ZOOMLION STREET - ADJEN KOTOKU,GA WEST,Greater Accra
294,PC/AS/R/0183G,ARCHIDOP PHARMACY,Retail,"H/NO. PLOT 11 NANA ADU DARKO STREET TUNSUOM
JACOBU",AMANSIE CENTRAL,Ashanti
295,PC/AS/R/00087,ARDON HEALTH CARE LTD,Retail,"PLOT 45, BLOCK A - DICHEMSO KUMASI",KMA,Ashanti
296,PC/GR/W/0192P,AREND PHARMACEUTICALS LTD,Wholesale,"GA261-5517, H/NO. B774/7 MANTSE BOI STREET - KANESHIE
ESTATE",GA CENTRAL,Greater Accra
297,PC/GR/R/0247P,ARISTOMED PHARMACY LTD,Retail,"H/NO. AM 891, GA-404-9864 WOOWOTI ROAD -
LATERBIOKOSHIE",,Greater Accra
298,PC/BA/WR/0052F,ARKOPHARMA COMPANY LTD.,Wholesale/Retail,"H/NO. 27, BLOCK L, WIRI KOFI ELECTORAL AREA BLOCK L WIRI
KOFI ELECTORAL AREA KWAME DANSO",SENE WEST,Brong Ahafo
299,PC/AS/R/0182K,ARKOPPONG PHARMACY,Retail,PLOT 35 ODEAFO AMOAYERE STREET NEW SITE APPIADU,KMA,Ashanti
300,PC/AS/R/00099,ARLIN CHEMISTS,Retail,"H/NO. PLOT. 13, BLOCK 23 - NEW AMAKOM EXTENSION
KUMASI",KMA,Ashanti
301,PC/GR/W/0084J,ARTEMIS PHARMACY LIMITED,Wholesale,PLOT B RING ROAD WEST STATE HOUSING COMPANY ACCRA,GA CENTRAL,Greater Accra
302,PC/WR/R/0241N,ARTPEE PHARMACY LTD,Retail,H/NO. N 29  KONNEH AVENUE POST OFFICE SQUARE BOGOSO,PRESTEA HUNI VALLEY,Western
303,PC/AS/WR/0113B,AS-TESCO CHEMISTS LTD.,Wholesale/Retail,"PLOT 6, BLK.E,  KUMASI-OBUASI HIGHWAY - KOTWI",ATWIMA KWANWOMA,Ashanti
304,PC/GR/R/0055J,ASAHALAJA PHARMACY,Retail,ROUND ABOUT - ASHALAJA,GA WEST,Greater Accra
305,PC/GR/R/00885,ASAK PHARM LTD.,Retail,"H/NO. 455/5, KUSIA STREET, KOKOMLEMLE ACCRA",AMA,Greater Accra
306,PC/GR/W/0137H,ASAK PHARMA LTD.,Wholesale,"H/NO. 7, KINBU ROAD  TUDU ACCRA",AMA,Greater Accra
307,PC/CR/W/0091M,ASAMPHARM PHARMACEUTICAL,Wholesale,H/NO. 84/1 - - KASOA,AWUTU SENYA EAST,Central
308,PC/GR/R/00899,ASANBECK  PHARMACY,Retail,"GB-011-7216 NII ATANYA HIGHWAY, ASHAIMAN NEAR ECG
OFFICE ASHAIMAN ASHAIMAN",ASHIAMAN,Greater Accra
309,PC/GR/R/0134G,ASANBECK PHARMACY,Retail,"H/NO. PR/ND/021, METHODIST JXN, - NEW DAWENYAH,
PRAMPRAM",NINGO PRAMPRAM,Greater Accra
310,PC/GR/R/00887,ASANCO PHARMACY,Retail,H/NO. J6 32/1 NEAR ROYAL HIGHT NUNGUA NUNGUA,LEDZOKUKU-KROWOR,Greater Accra
311,PC/GR/R/0068L,ASANCO PHARMACY LTD,Retail,H/NO. 5 PALM TREE AVENUE - TESHIE NUNGUA ESTATE,LEDZOKUKU-KROWOR,Greater Accra
312,PC/GR/R/0045H,ASANKWA PHARMACY LTD.,Retail,"H/NO. NH 112, AHENSI ROAD POKUASE ABLEKUMA",GA WEST,Greater Accra
313,PC/AS/WR/00109,ASAPHARMA LTD,Wholesale/Retail,"PLOT 33, BLOCK D - - MEDOMA",KWABERE EAST,Ashanti
314,PC/AS/R/0203K,ASAPHARMA LTD,Retail,"PLOT 4, BLOCK A ANGEL STREET ABUOHIA KRONUM",AFIGYA-KWABRE,Ashanti
315,PC/CR/R/0116K,ASBED CHEMISTS,Retail,H/NO. 169 KUMASI ROAD - ASSIN FOSU,ASSIN NORTH,Central
316,PC/UER/W/0252N,ASCEND LIFESCIENCE PHARMACY,WTDholesale,H/NO. Z20 - BEHIND BOGISS ZAARE,BOLGATANGA,Upper East
317,PC/WR/W/0035P,ASCOT PHARMACY,Wholesale,UNN STORE - NZEMA LINE TARKWA,TARKWA-NSUAEM,Western
318,PC/GR/W/0013G,ASCOT PHARMACY,Wholesale,HNO.  - ABEKA-LAPAZ ACCRA,AMA,Greater Accra
319,PC/GR/WR/0198M,ASEDA NKA NYAME PHARMACY,Wholesale/Retail,H/NO. K 124 KIMBERLY AVENUE OKAISHIE ACCRA,AMA,Greater Accra
320,PC/AS/W/00083,ASEMPA PHARMACY (ANNEX),Wholesale,"PLT. 1, BLK 2 - SUNTRESO ESTATES KUMASI",KMA,Ashanti
321,PC/AS/WR/0133L,ASEMPA PHARMACY LTD,Wholesale/Retail,"H/NO. 497, BLOCK OTB GUGGISBERG ROAD PZ-ADUM
KUMASI",KMA,Ashanti
322,PC/GR/R/0353L,ASFRIENDS PHARMACY LIMITED,Retail,H/NO. WAB 109/1 - SCHOOL JUNCTION ASHALEY BOTWE,ADENTAN,Greater Accra
323,PC/GR/R/00587,ASHAIMAN PHARMACY,Retail,"H/NO. A/56W TUXEDO HOTEL JUNCTION PRESBY DOWN
ASHAIMAN",ASHIAMAN,Greater Accra
324,PC/AS/R/00197,ASHBYS LIMITED,Retail,"PLOT 1, BLOCK C OPPOSITE NEW MARKET ABUAKWA KUMASI",ATWIMA NWABIAGYA,Ashanti
326,PC/AS/WR/0123A,ASHBYS PHARMACY LTD.,Wholesale/Retail,"PLOT 1, BLK B,  ABUAKWA, KUMASI",KMA,Ashanti
327,PC/CR/R/0073P,ASHER'S HAVEN PHARMACY LTD,Retail,H/NO. F 95 - - GOMOA NYANYANO,GOMOA EAST,Central
328,PC/CR/R/00007,ASHGIN PHARMACY,Retail,"H/NO. 21 A/PV JUKWA ROAD PEDU ESTATE JUNCTION CAPE
COAST",CAPE COAST,Central
329,PC/CR/R/0541K,ASHGIN PHARMACY,Retail,H/NO. KP 46 SCHOOL BUS ROAD - CAPE COAST,CAPE COAST,Central
330,PC/CR/R/00034,ASHGIN PHARMACY (ANNEX),Retail,BEHIND OGUAA HALL OLD SITE APEWOSIKA UCC CAPE COAST,CAPE COAST,Central
331,PC/GR/R/00655,ASHTEE CHEMIST LTD.,Retail,H/NO. B 80/3 JORKOBRI STREET LARTEBIOKORSHI ACCRA,AMA,Greater Accra
332,PC/GR/R/0166M,ASIEKENAM PHARMACY LIMITED,Retail,H/NO. 33 TUBA ROAD GBAWE KOKROBITE,GA SOUTH,Greater Accra
333,PC/AS/WR/00018,ASKEME PHARMACY LTD.,Wholesale/Retail,"PLOT 1, BLOCK 12 - NEW AMAKOM KUMASI",KMA,Ashanti
334,PC/AS/R/00025,ASLINA CHEMIST,Retail,"PLOT 2, BLOCK B  NEAR UGC BREMANG NEW SITE KUMASI",KMA,Ashanti
335,PC/AS/WR/0095D,ASLINA CHEMIST (KRONUM BRAN,WHh) olesale/Retail,"PLOT 129, BLOCK C, OPPOSITE ROYAL GAS FILLING STATION
KRONUM ABOUHIA KUMASI",KMA,Ashanti
336,PC/ER/R/0045F,ASM PHARMACY,Retail,H/NO. D 18 MARKET SQUARE RD. - MPRAESO-NSUASE,KWAHU SOUTH,Eastern
337,PC/AS/WR/0149N,ASOMAFO PHARMACY,Wholesale/Retail,BLOCK G1 ATEBUBU ROAD - EJURA,EJURA-SEKYIDUMASE,Ashanti
338,PC/AS/R/0493L,ASOMAFO PHARMACY LIMITED,Retail,DPF 54 AFRAMSO ROAD - DAPAATO,EJURA-SEKYIDUMASE,Ashanti
